id,parameter
FT-BMS-022,LbSOC_DispSOCSETErr_flg
FT-BMS-022,LbSOC_DispSOCSETErr_flg
FT-BMS-022,LuSOC_DispSOCSETraw_pct
FT-BMS-022,KuSOC_DispSOCSETMax_pct
FT-BMS-022,LbSOC_DispSOCSETErr_flg
FT-BMS-022,LbSOC_DispSOCSETErr_flg
FT-BMS-023,LbSOC_DispSOCSETErr_flg
FT-BMS-023,LbSOC_DispSOCSETErr_flg
FT-BMS-023,LbSOC_DispSOCSETErr_flg
FT-BMS-023,LuSOC_DispSOCSETraw_pct
FT-BMS-023,KuSOC_DispSOCSETMin_pct
FT-BMS-023,LbSOC_DispSOCSETErr_flg
FT-BMS-023,LbSOC_DispSOCSETErr_flg
FT-BMS-024,LbSOC_DispSOCSETErr_flg
FT-BMS-024,LbSOC_DispSOCSETErr_flg
FT-BMS-024,LbSOC_DispSOCSETErr_flg
FT-BMS-024,LuSOC_DispSOCSETraw_pct
FT-BMS-024,KuSOC_DispSOCSETMin_pct
FT-BMS-024,LbSOC_DispSOCSETErr_flg
FT-BMS-024,LbSOC_DispSOCSETErr_flg
FT-BMS-025,LbSOC_DispSOCSETErr_flg
FT-BMS-025,LbSOC_DispSOCSETErr_flg
FT-BMS-025,LbSOC_DispSOCSETErr_flg
FT-BMS-025,LeSOC_CHGReTimeraw_min
FT-BMS-025,KeSOC_CHGReTimeMax_min
FT-BMS-025,LbSOC_DispSOCSETErr_flg
FT-BMS-025,LbSOC_DispSOCSETErr_flg
FT-BMS-026,LbSOC_DispSOCSETErr_flg
FT-BMS-026,LbSOC_DispSOCSETErr_flg
FT-BMS-026,LbSOC_DispSOCSETErr_flg
FT-BMS-026,LeSOC_CHGReTimeraw_min
FT-BMS-026,KeSOC_CHGReTimeMax_min
FT-BMS-026,LbSOC_DispSOCSETErr_flg
FT-BMS-026,LbSOC_DispSOCSETErr_flg
FT-BMS-027,LbSOC_DispSOCSETErr_flg
FT-BMS-027,LbSOC_DispSOCSETErr_flg
FT-BMS-027,LbSOC_DispSOCSETErr_flg
FT-BMS-027,LeSOC_CHGReTimeraw_min
FT-BMS-027,KeSOC_CHGReTimeMin_min
FT-BMS-027,LbSOC_DispSOCSETErr_flg
FT-BMS-027,LbSOC_DispSOCSETErr_flg
FT-BMS-028,LbSOC_DispSOCSETErr_flg
FT-BMS-028,LbSOC_DispSOCSETErr_flg
FT-BMS-028,LbSOC_DispSOCSETErr_flg
FT-BMS-028,LeSOC_CHGReTimeraw_min
FT-BMS-028,KeSOC_CHGReTimeMin_min
FT-BMS-028,LbSOC_DispSOCSETErr_flg
FT-BMS-028,LbSOC_DispSOCSETErr_flg
