id,parameter
SFT-BMS-007,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-007,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-007,VePWRCTL_CutPwrPercent_enum
SFT-BMS-007,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-007,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-007,LsPWRCTL_BattSOC_pct
SFT-BMS-007,LfPWRCTL_SOH_pct
SFT-BMS-007,LfPWRCTL_BMSSysI_A
SFT-BMS-007,VlPWRCTL_DchgP_W
SFT-BMS-007,LuPWRCTL_SysMinVol_mV
SFT-BMS-007,LuPWRCTL_SysMinVol_Mv
SFT-BMS-007,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-007,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-007,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-007,KsPWRCTL_ChgMaxT_deg
SFT-BMS-007,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-007,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-008,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-008,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-008,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-008,VePWRCTL_CutPwrPercent_enum
SFT-BMS-008,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-008,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-008,LsPWRCTL_BattSOC_pct
SFT-BMS-008,LfPWRCTL_SOH_pct
SFT-BMS-008,LfPWRCTL_BMSSysI_A
SFT-BMS-008,VlPWRCTL_DchgP_W
SFT-BMS-008,LuPWRCTL_SysMinVol_mV
SFT-BMS-008,LuPWRCTL_SysMinVol_Mv
SFT-BMS-008,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-008,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-008,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-008,KsPWRCTL_ChgMaxT_deg
SFT-BMS-008,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-008,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-009,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-009,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-009,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-009,VePWRCTL_CutPwrPercent_enum
SFT-BMS-009,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-009,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-009,LsPWRCTL_BattSOC_pct
SFT-BMS-009,LfPWRCTL_SOH_pct
SFT-BMS-009,LfPWRCTL_BMSSysI_A
