id,parameter
ID-BMS-023,KuELHPN_FiltWaitT_enum
ID-BMS-024,LbELHPN_BatIsoTestCmd_flg
ID-BMS-024,LbELHPN_BatIsoTestCmd_flg
ID-BMS-024,KfELHPN_NFCHStaRMask_O
ID-BMS-024,KuELHPN_FiltWaitT_enum
ID-BMS-025,LbELHPN_BatIsoTestCmd_flg
ID-BMS-025,LbELHPN_BatIsoTestCmd_flg
ID-BMS-025,KfELHPN_NFCHStaRMask_O
ID-BMS-025,KuELHPN_FiltWaitT_enum
ID-BMS-026,LbELHPN_BatIsoTestCmd_flg
ID-BMS-026,LbELHPN_BatIsoTestCmd_flg
ID-BMS-026,KfELHPN_NFCHStaRMask_O
ID-BMS-026,KuELHPN_FiltWaitT_enum
ID-BMS-027,LbELHPN_BatIsoTestCmd_flg
ID-BMS-027,LbELHPN_BatIsoTestCmd_flg
ID-BMS-027,KfELHPN_NFCHStaRMask_O
ID-BMS-027,KuELHPN_FiltWaitT_enum
ID-BMS-028,LbELHPN_BatIsoTestCmd_flg
ID-BMS-028,LbELHPN_BatIsoTestCmd_flg
ID-BMS-028,KfELHPN_NFCHStaRMask_O
ID-BMS-028,KuELHPN_FiltWaitT_enum
ID-BMS-029,LbELHPN_BatIsoTestCmd_flg
ID-BMS-029,LbELHPN_BatIsoTestCmd_flg
ID-BMS-029,KfELHPN_NFCHStaRMask_O
ID-BMS-029,KuELHPN_FiltWaitT_enum
ID-BMS-030,LbELHPN_BatIsoTestCmd_flg
ID-BMS-030,LbELHPN_BatIsoTestCmd_flg
ID-BMS-030,KfELHPN_RMaskRThreshould_O
ID-BMS-030,KuELHPN_FiltWaitT_enum
ID-BMS-030,VfELHPN_Rneg_O
ID-BMS-030,VfELHPN_Rneg_O
ID-BMS-031,LbELHPN_BatIsoTestCmd_flg
ID-BMS-031,LbELHPN_BatIsoTestCmd_flg
ID-BMS-031,KfELHPN_RMaskRThreshould_O
ID-BMS-031,KuELHPN_FiltWaitT_enum
ID-BMS-031,VfELHPN_Rpos_O
ID-BMS-031,VfELHPN_Rpos_O
